,Year,month,inflation,Date
0,2012,Jan,2.9,2012-01-01
1,2013,Jan,1.6,2013-01-01
2,2014,Jan,1.6,2014-01-01
3,2015,Jan,-0.1,2015-01-01
4,2016,Jan,1.4,2016-01-01
5,2017,Jan,2.5,2017-01-01
6,2018,Jan,2.1,2018-01-01
7,2019,Jan,1.6,2019-01-01
8,2020,Jan,2.5,2020-01-01
9,2021,Jan,1.4,2021-01-01
10,2022,Jan,7.5,2022-01-01
11,2012,Feb,2.9,2012-02-01
12,2013,Feb,2.0,2013-02-01
13,2014,Feb,1.1,2014-02-01
14,2015,Feb,0.0,2015-02-01
15,2016,Feb,1.0,2016-02-01
16,2017,Feb,2.7,2017-02-01
17,2018,Feb,2.2,2018-02-01
18,2019,Feb,1.5,2019-02-01
19,2020,Feb,2.3,2020-02-01
20,2021,Feb,1.7,2021-02-01
21,2022,Feb,7.9,2022-02-01
22,2012,Mar,2.7,2012-03-01
23,2013,Mar,1.5,2013-03-01
24,2014,Mar,1.5,2014-03-01
25,2015,Mar,-0.1,2015-03-01
26,2016,Mar,0.9,2016-03-01
27,2017,Mar,2.4,2017-03-01
28,2018,Mar,2.4,2018-03-01
29,2019,Mar,1.9,2019-03-01
30,2020,Mar,1.5,2020-03-01
31,2021,Mar,2.6,2021-03-01
32,2022,Mar,8.5,2022-03-01
33,2012,Apr,2.3,2012-04-01
34,2013,Apr,1.1,2013-04-01
35,2014,Apr,2.0,2014-04-01
36,2015,Apr,-0.2,2015-04-01
37,2016,Apr,1.1,2016-04-01
38,2017,Apr,2.2,2017-04-01
39,2018,Apr,2.5,2018-04-01
40,2019,Apr,2.0,2019-04-01
41,2020,Apr,0.3,2020-04-01
42,2021,Apr,4.2,2021-04-01
43,2022,Apr,8.3,2022-04-01
44,2012,May,1.7,2012-05-01
45,2013,May,1.4,2013-05-01
46,2014,May,2.1,2014-05-01
47,2015,May,0.0,2015-05-01
48,2016,May,1.0,2016-05-01
49,2017,May,1.9,2017-05-01
50,2018,May,2.8,2018-05-01
51,2019,May,1.8,2019-05-01
52,2020,May,0.1,2020-05-01
53,2021,May,5.0,2021-05-01
54,2022,May,8.6,2022-05-01
55,2012,Jun,1.7,2012-06-01
56,2013,Jun,1.8,2013-06-01
57,2014,Jun,2.1,2014-06-01
58,2015,Jun,0.1,2015-06-01
59,2016,Jun,1.0,2016-06-01
60,2017,Jun,1.6,2017-06-01
61,2018,Jun,2.9,2018-06-01
62,2019,Jun,1.6,2019-06-01
63,2020,Jun,0.6,2020-06-01
64,2021,Jun,5.4,2021-06-01
65,2022,Jun,9.1,2022-06-01
66,2012,Jul,1.4,2012-07-01
67,2013,Jul,2.0,2013-07-01
68,2014,Jul,2.0,2014-07-01
69,2015,Jul,0.2,2015-07-01
70,2016,Jul,0.8,2016-07-01
71,2017,Jul,1.7,2017-07-01
72,2018,Jul,2.9,2018-07-01
73,2019,Jul,1.8,2019-07-01
74,2020,Jul,1.0,2020-07-01
75,2021,Jul,5.4,2021-07-01
76,2022,Jul,8.5,2022-07-01
77,2012,Aug,1.7,2012-08-01
78,2013,Aug,1.5,2013-08-01
79,2014,Aug,1.7,2014-08-01
80,2015,Aug,0.2,2015-08-01
81,2016,Aug,1.1,2016-08-01
82,2017,Aug,1.9,2017-08-01
83,2018,Aug,2.7,2018-08-01
84,2019,Aug,1.7,2019-08-01
85,2020,Aug,1.3,2020-08-01
86,2021,Aug,5.3,2021-08-01
87,2022,Aug,8.3,2022-08-01
88,2012,Sep,2.0,2012-09-01
89,2013,Sep,1.2,2013-09-01
90,2014,Sep,1.7,2014-09-01
91,2015,Sep,0.0,2015-09-01
92,2016,Sep,1.5,2016-09-01
93,2017,Sep,2.2,2017-09-01
94,2018,Sep,2.3,2018-09-01
95,2019,Sep,1.7,2019-09-01
96,2020,Sep,1.4,2020-09-01
97,2021,Sep,5.4,2021-09-01
98,2022,Sep,8.2,2022-09-01
99,2012,Oct,2.2,2012-10-01
100,2013,Oct,1.0,2013-10-01
101,2014,Oct,1.7,2014-10-01
102,2015,Oct,0.2,2015-10-01
103,2016,Oct,1.6,2016-10-01
104,2017,Oct,2.0,2017-10-01
105,2018,Oct,2.5,2018-10-01
106,2019,Oct,1.8,2019-10-01
107,2020,Oct,1.2,2020-10-01
108,2021,Oct,6.2,2021-10-01
109,2022,Oct,,2022-10-01
110,2012,Nov,1.8,2012-11-01
111,2013,Nov,1.2,2013-11-01
112,2014,Nov,1.3,2014-11-01
113,2015,Nov,0.5,2015-11-01
114,2016,Nov,1.7,2016-11-01
115,2017,Nov,2.2,2017-11-01
116,2018,Nov,2.2,2018-11-01
117,2019,Nov,2.1,2019-11-01
118,2020,Nov,1.2,2020-11-01
119,2021,Nov,6.8,2021-11-01
120,2022,Nov,,2022-11-01
121,2012,Dec,1.7,2012-12-01
122,2013,Dec,1.5,2013-12-01
123,2014,Dec,0.8,2014-12-01
124,2015,Dec,0.7,2015-12-01
125,2016,Dec,2.1,2016-12-01
126,2017,Dec,2.1,2017-12-01
127,2018,Dec,1.9,2018-12-01
128,2019,Dec,2.3,2019-12-01
129,2020,Dec,1.4,2020-12-01
130,2021,Dec,7.0,2021-12-01
131,2022,Dec,,2022-12-01
