,DATE,FEDFUNDS
0,2017-01-01,0.65
1,2017-02-01,0.66
2,2017-03-01,0.79
3,2017-04-01,0.9
4,2017-05-01,0.91
5,2017-06-01,1.04
6,2017-07-01,1.15
7,2017-08-01,1.16
8,2017-09-01,1.15
9,2017-10-01,1.15
10,2017-11-01,1.16
11,2017-12-01,1.3
12,2018-01-01,1.41
13,2018-02-01,1.42
14,2018-03-01,1.51
15,2018-04-01,1.69
16,2018-05-01,1.7
17,2018-06-01,1.82
18,2018-07-01,1.91
19,2018-08-01,1.91
20,2018-09-01,1.95
21,2018-10-01,2.19
22,2018-11-01,2.2
23,2018-12-01,2.27
24,2019-01-01,2.4
25,2019-02-01,2.4
26,2019-03-01,2.41
27,2019-04-01,2.42
28,2019-05-01,2.39
29,2019-06-01,2.38
30,2019-07-01,2.4
31,2019-08-01,2.13
32,2019-09-01,2.04
33,2019-10-01,1.83
34,2019-11-01,1.55
35,2019-12-01,1.55
36,2020-01-01,1.55
37,2020-02-01,1.58
38,2020-03-01,0.65
39,2020-04-01,0.05
40,2020-05-01,0.05
41,2020-06-01,0.08
42,2020-07-01,0.09
43,2020-08-01,0.1
44,2020-09-01,0.09
45,2020-10-01,0.09
46,2020-11-01,0.09
47,2020-12-01,0.09
48,2021-01-01,0.09
49,2021-02-01,0.08
50,2021-03-01,0.07
51,2021-04-01,0.07
52,2021-05-01,0.06
53,2021-06-01,0.08
54,2021-07-01,0.1
55,2021-08-01,0.09
56,2021-09-01,0.08
57,2021-10-01,0.08
58,2021-11-01,0.08
59,2021-12-01,0.08
