,Month,YYYY,ICS_ALL,Date
0,January,2017,98.5,2017-01-01
1,February,2017,96.3,2017-02-01
2,March,2017,96.9,2017-03-01
3,April,2017,97.0,2017-04-01
4,May,2017,97.1,2017-05-01
5,June,2017,95.0,2017-06-01
6,July,2017,93.4,2017-07-01
7,August,2017,96.8,2017-08-01
8,September,2017,95.1,2017-09-01
9,October,2017,100.7,2017-10-01
10,November,2017,98.5,2017-11-01
11,December,2017,95.9,2017-12-01
12,January,2018,95.7,2018-01-01
13,February,2018,99.7,2018-02-01
14,March,2018,101.4,2018-03-01
15,April,2018,98.8,2018-04-01
16,May,2018,98.0,2018-05-01
17,June,2018,98.2,2018-06-01
18,July,2018,97.9,2018-07-01
19,August,2018,96.2,2018-08-01
20,September,2018,100.1,2018-09-01
21,October,2018,98.6,2018-10-01
22,November,2018,97.5,2018-11-01
23,December,2018,98.3,2018-12-01
24,January,2019,91.2,2019-01-01
25,February,2019,93.8,2019-02-01
26,March,2019,98.4,2019-03-01
27,April,2019,97.2,2019-04-01
28,May,2019,100.0,2019-05-01
29,June,2019,98.2,2019-06-01
30,July,2019,98.4,2019-07-01
31,August,2019,89.8,2019-08-01
32,September,2019,93.2,2019-09-01
33,October,2019,95.5,2019-10-01
34,November,2019,96.8,2019-11-01
35,December,2019,99.3,2019-12-01
36,January,2020,99.8,2020-01-01
37,February,2020,101.0,2020-02-01
38,March,2020,89.1,2020-03-01
39,April,2020,71.8,2020-04-01
40,May,2020,72.3,2020-05-01
41,June,2020,78.1,2020-06-01
42,July,2020,72.5,2020-07-01
43,August,2020,74.1,2020-08-01
44,September,2020,80.4,2020-09-01
45,October,2020,81.8,2020-10-01
46,November,2020,76.9,2020-11-01
47,December,2020,80.7,2020-12-01
48,January,2021,79.0,2021-01-01
49,February,2021,76.8,2021-02-01
50,March,2021,84.9,2021-03-01
51,April,2021,88.3,2021-04-01
52,May,2021,82.9,2021-05-01
53,June,2021,85.5,2021-06-01
54,July,2021,81.2,2021-07-01
55,August,2021,70.3,2021-08-01
56,September,2021,72.8,2021-09-01
57,October,2021,71.7,2021-10-01
58,November,2021,67.4,2021-11-01
59,December,2021,70.6,2021-12-01
